Name,Discounted Price,Actual Price,Saving,Brand,Z_score
HP Pavilion X360 14 EK1055TU 14 Inches 13th Gen Core i5 Win 11 Home (8GB - 512GB),199999.0,299999.0,33.333444444814816,hp,1.2048142610357258
HP Pavilion 15 EG3002TX 15.6 Inches 13th Gen Core i5 Win 11 (8GB - 512GB),258999.0,324999.0,20.30775479309167,hp,1.616777708450329
HP Envy 16 H1008TX 16 Inches 13th Gen Core i5 Win 11 (16GB - 512GB),409999.0,449999.0,8.888908642019205,hp,3.6765949455233455
Apple Macbook Pro MRX33 M3 Pro 14 (18GB-512GB) Black,554999.0,600000.0,7.500166666666666,apple,1.201000855884291
Apple MACBOOK AIR 13.6” M2 CHIP MLY43 8-512GB,354999.0,400000.0,11.250250000000001,apple,-0.7071067811865476
Lenovo ThinkBook16 - Ci5-1335U (8GB 512GB),161599.0,225000.0,28.17822222222222,lenovo,-0.18618971360490988
HP Spectre 14-EU0008NI Ultra 7 (16GB 1TB) Oled Plus HP PEN,464999.0,480000.0,3.125208333333333,hp,1.171739054632019
HP ProBook 440 G10 13th Gen Core i5 14 inches (8GB-512GB),187999.0,200000.0,6.000500000000001,hp,-0.4430230500847908
HP ENVY 14-ES1013DX 14th Gen Core 5 120U (8GB-512GB SSD) x360 Touch,169999.0,200000.0,15.0005,hp,
Lenovo ThinkPad E14 G5 13th Gen Core i7 1355U (8GB-512GB),285999.0,310000.0,7.742258064516129,lenovo,-0.03571064735726299
HP Spectre 2-in-1 X360 16-F2013DX 13th Gen Core i7,346999.0,380000.0,8.684473684210527,hp,0.6722209046040003
Dell Vostro 15 3530 13th Gen Core i5 1334u,142999.0,180000.0,20.55611111111111,dell,-0.6117716678811175
Lenovo ThinkPad E16 Gen 2 - Intel Core Ultra 5 (8GB-512GB),243999.0,275000.0,11.273090909090909,lenovo,0.624205562433177
Lenovo Thinkpad  T14 13th Gen Core I7 DOS,388999.0,400000.0,2.75025,lenovo,
HP Probook 440 G11 Ultra 7 155u,227999.0,275000.0,17.091272727272727,hp,-1.0034815707197888
Infinix INBOOK Y3H Plus (YL513H) Core i5 12450H (16GB - 512GB),159999.0,169999.0,5.8823875434561375,infinix,0.7071067811865476
HP VICTUS 15-FB3093DX  R7-7445HS (16GB 512GB) RTX-4050-6GB,244999.0,288999.0,15.224966176353552,hp,
HP OMNIBOOK 14 FP0023DX Core 7 150U (16GB-512GB),217999.0,255000.0,14.510196078431372,hp,
Lenovo IdeaPad Slim 5 Ultra 5 125H (16GB-512GB) DOS,199999.0,224999.0,11.11116049404664,lenovo,-0.802562238036362
Lenovo IdeaPad Slim 5 Ultra 7 155H (16GB-512GB) DOS,256999.0,280000.0,8.214642857142856,lenovo,-0.9611318885525143
Lenovo loq 15 13th Core i7 13650hx (24GB-512GB) DOS,324999.0,355000.0,8.450985915492957,lenovo,0.48274497719366877
HP Laptop 15-FD0532NIA Intel Core i3-1315U 13th Gen (4GB-256GB),110999.0,119000.0,6.723529411764706,hp,-0.9918997505058149
LENOVO LOQ 15 Ci7 13650HX,300999.0,349000.0,13.753868194842406,lenovo,0.4136175605868779
LENOVO LOQ 15 Core i7 14650HX,376999.0,424999.0,11.294144221515817,lenovo,1.2892199830367947
"HP 15S-FQ5000NIA Ci3-1215U (4GB, 256GB SSD)",101999.0,149000.0,31.544295302013424,hp,1.2586480073456776
Lenovo Legion 5 Ci7-14650HX (16GB-1TB SSD) RTX 4050 6GB,381999.0,429999.0,11.162816657713158,lenovo,1.3468261635424539
